subscribed_group,n,total,percent,channel_type,stderr,ci_lwr95,ci_upr95,ci_lwr90,ci_upr90,total_label
not subscribed,3758,31129,12.072344116418773,"Alternative channel
(2.7%)",0.5314717230827753,11.03063817655971,13.114050056277835,11.19812490868563,12.946563324151915,"3,758"
subscribed to another,4930,31129,15.837322111214622,"Alternative channel
(2.7%)",0.5199686836152607,14.818162591078961,16.856481631350285,14.982024282762927,16.692619939666315,"4,930"
subscribed to current,22441,31129,72.0903337723666,"Alternative channel
(2.7%)",0.29942960449050193,71.50343971192979,72.67722783280342,71.59780124384153,72.58286630089168,"22,441"
not subscribed,547,5156,10.60899922420481,"Extremist channel
(0.4%)",1.3167109443362046,8.027687237844827,13.190311210564793,8.442813249624429,12.775185198785191,547
subscribed to another,411,5156,7.971295577967416,"Extremist channel
(0.4%)",1.335996128727271,5.352176449620837,10.590414706313995,5.7733825974524215,10.16920855848241,411
subscribed to current,4198,5156,81.41970519782777,"Extremist channel
(0.4%)",0.6003020768247542,80.2428584851837,82.59655191047183,80.43211870823205,82.40729168742348,"4,198"
not subscribed,23318,53777,43.360544470684495,"Mainstream media
(4.6%)",0.3245347822161673,42.724453669251865,43.996635272117125,42.826723061244856,43.894365880124134,"23,318"
subscribed to another,8473,53777,15.755806385629544,"Mainstream media
(4.6%)",0.395796275638686,14.98004247996791,16.531570291291178,15.104768231045329,16.406844540213758,"8,473"
subscribed to current,21986,53777,40.883649143685965,"Mainstream media
(4.6%)",0.33155495559180664,40.23379874558326,41.53349954178867,40.338280377687795,41.429017909684134,"21,986"
not subscribed,72749,1031770,7.050893125405857,"Other channel
(92.3%)",0.09491419365095119,6.864864505999007,7.236921744812706,6.894773029555797,7.207013221255917,"72,749"
subscribed to another,611225,1031770,59.24043149151458,"Other channel
(92.3%)",0.06285261348490856,59.11724248823748,59.363620494791675,59.1370480494366,59.343814933592554,"611,225"
subscribed to current,347796,1031770,33.70867538307956,"Other channel
(92.3%)",0.08015615944677122,33.55157201312759,33.86577875303153,33.57683011511234,33.84052065104678,"347,796"
